num,Ctrl,VPA
1,0.05358587,0.18813089
2,0.10366746,0.15750158
3,0.08629173,0.18684423
4,0.15674454,0.20456532
5,0.072329916,0.08763341
6,0.14149377,0.21879445
7,0.08498177,0.23285349
8,0.12472407,0.1416459
9,0.0452977,0.1457884
10,0.11306226,0.1346741
11,0.11766537,0.21533099
12,0.15716311,0.18465412
13,0.09872733,0.17062575
14,0.1116077,0.129316
15,0.11164065,0.24595161
16,0.106614135,0.13883924
17,0.14863446,0.14388336
18,0.18061619,0.10962376
19,0.13147813,0.22646268
20,0.12193612,0.24599597
21,0.110085234,0.1842232
22,0.15864249,0.1566118
23,0.14021444,0.11262054
24,0.140809,0.13104665
25,0.1363806,0.17023852
26,0.12590201,0.04209371
27,0.07651351,0.22521098
28,0.10289077,0.15536974
29,0.17445259,0.22354585
30,0.23211856,0.23050599
31,0.16301964,0.14350185
32,0.11083404,0.20617498
33,0.11453017,0.10351022
34,0.11892231,0.175255
35,0.14670663,0.15498696
36,0.06664511,0.18546462
37,0.1437149,0.235265
38,0.08591232,0.1983518
39,0.11508519,0.15904686
40,0.08219024,0.12520611
41,0.13345394,0.22436884
42,0.081808604,0.18815657
43,0.07170316,0.20161359
44,0.18295112,0.10775772
45,0.081476554,0.116037294
46,0.14676805,0.23767656
47,0.09588148,0.14123686
48,0.15272295,0.19796015
49,0.12242666,0.120151736
50,0.1263536,0.21276873
51,0.10621404,0.167878
52,0.112064086,0.110527866
53,0.07133642,0.2209272
54,0.084528685,0.1572098
55,0.11316342,0.18578696
56,0.16150531,0.30819562
57,0.09606133,0.19077997
58,0.096804425,0.2099557
59,0.13136801,0.13116255
60,0.11695786,0.15722685
61,0.11906501,0.12087664
62,0.106588975,0.19192916
63,0.09298471,0.10581753
64,0.10298456,0.094186276
65,0.09777223,0.13211422
66,0.11947595,0.1684941
67,0.073482834,0.22020671
68,0.13594891,0.1824176
69,0.096104,0.08151344
70,0.100639,0.16376285
71,0.098160766,0.15918961
72,0.0639988,0.26323456
73,0.20492223,0.20417513
74,0.18509796,0.13944374
75,0.061344586,0.18375185
76,0.13538182,0.24206272
77,0.084053926,0.15377475
78,0.09565559,0.1906052
79,0.09803534,0.19116864
80,0.12998365,0.24536107
81,0.10246861,0.2161063
82,0.16237302,0.11875602
83,0.091669425,0.17098346
84,0.17889626,0.14478165
85,0.13840017,0.19082324
86,0.13463919,0.15832283
87,0.1285528,0.27922663
88,0.22999686,0.19330938
89,0.111238174,0.19307634
90,0.09060618,0.21479672
91,0.11828085,0.21219718
92,0.059346035,0.13342786
93,0.08642986,0.14552249
94,0.16594699,0.19522402
95,0.07864451,0.06524885
96,0.15453118,0.14464457
97,0.12592663,0.24468313
98,0.11076429,0.24242528
99,0.07896189,0.11557463
100,0.105912544,0.16161461
101,0.087052464,0.15206753
102,0.12447565,0.14486091
103,0.10128036,0.085569374
104,0.114642315,0.18103085
105,0.12608238,0.21383514
106,0.12751922,0.3006507
107,0.120331034,0.25459883
108,0.17997506,0.19380286
109,0.091286905,0.15438354
110,0.118218414,0.12850259
111,0.09032321,0.18115635
112,0.11565786,0.19298299
113,0.13383974,0.12293575
114,0.08449295,0.11794848
115,0.07143851,0.18821934
116,0.12570319,0.11845881
117,0.052457795,0.124804296
118,0.07636878,0.10616384
119,0.067916036,0.21150406
120,0.11078237,0.12505834
121,0.09498111,0.22803803
122,0.045411658,0.23367463
123,0.11929157,0.11626324
124,0.121706046,0.19724157
125,0.2190405,0.19293752
126,0.14281574,0.20283493
127,0.14074495,0.15532795
128,0.10570999,0.10114546
129,0.11927982,0.12950565
130,0.12077528,0.1634264
131,0.11779671,0.19419588
132,0.10020822,0.20705204
133,0.13120171,0.15291555
134,0.12348673,0.18271615
135,0.10514741,0.14433852
136,0.08390299,0.1446083
137,0.11718529,0.18130052
138,0.10225239,0.1426288
139,0.13555099,0.24386916
140,0.15592639,0.106636904
141,0.08092663,0.19150282
142,0.12912208,0.20941578
143,0.06456032,0.26004395
144,0.09591631,0.15383728
145,0.25623375,0.15579443
146,0.096382596,0.24938695
147,0.1026515,0.14988162
148,0.21197599,0.13555527
149,0.08542755,0.1714904
150,0.12647249,0.2245729
151,0.084126994,0.10826743
152,0.09570317,0.27666548
153,0.13249485,0.17993174
154,0.13725968,0.20514533
155,0.046921626,0.21550159
156,0.14059415,0.12990539
157,0.05094999,0.20934625
158,0.16210164,0.13309872
159,0.118619524,0.20755453
160,0.15974995,0.2544549
161,0.058696322,0.11233588
162,0.11231781,0.2309469
163,0.109662294,0.15434356
164,0.11165917,0.21163793
165,0.119510025,0.1618468
166,0.077087976,0.11950053
167,0.13672046,0.08353295
168,0.10461723,0.20659038
169,0.064699136,0.11758459
170,0.08332264,0.20745853
171,0.13622893,0.13155569
172,0.15433533,0.11302408
173,0.15407231,0.06416652
174,0.10430611,0.13222401
175,0.18642882,0.10157917
176,0.17261179,0.070457496
177,0.13411722,0.18479852
178,0.079155765,0.18272287
179,0.12737918,0.24446832
180,0.087894455,0.19332989
181,0.10276359,0.20720659
182,0.105520085,0.12981567
183,0.12687686,0.20389369
184,0.08118494,0.084239505
185,0.18104304,0.14833401
186,0.12232824,0.12110966
187,0.103624396,0.061053984
188,0.12053688,0.19511981
189,0.24961464,0.13733552
190,0.109137945,0.11051436
191,0.11483077,0.18160336
192,0.17480494,0.15295406
193,0.10416378,0.09523522
194,0.11815625,0.26560512
195,0.15643112,0.09266551
196,0.0988547,0.1315902
197,0.0851519,0.22434792
198,0.08816185,0.11431002
199,0.099895574,0.18642704
200,0.106248364,0.10493623
201,0.10307297,0.15786523
202,0.07293821,0.24469395
203,0.09046633,0.19240959
204,0.2176893,0.1661867
205,0.1557867,0.102140084
206,0.16838275,0.1972373
207,0.12683013,0.112590134
208,0.102822654,0.12994249
209,0.1079293,0.10963008
210,0.052906677,0.20754184
211,0.16098966,0.13820492
212,0.11507022,0.13688596
213,0.06841403,0.12580366
214,0.12542334,0.123166904
215,0.14915885,0.093304805
216,0.103576474,0.10727199
217,0.14297721,0.18779941
218,0.10623251,0.21772711
219,0.1491401,0.11530925
220,0.07767283,0.21120636
221,0.12753244,0.11569788
222,0.16868958,0.27787867
223,0.124212414,0.14981313
224,0.21441676,0.17274743
225,0.13990256,0.119419575
226,0.09361187,0.19648845
227,0.13022187,0.2616424
228,0.110036336,0.1344032
229,0.1153704,0.25462323
230,0.16335282,0.2106992
231,0.093186066,0.20339087
232,0.10862603,0.1834857
233,0.16164048,0.19648787
234,0.102542825,0.21391413
235,0.14571935,0.19010341
236,0.15696287,0.2112235
237,0.10149038,0.22537115
238,0.08955703,0.14233844
239,0.11145424,0.18129419
240,0.08949136,0.2407323
241,0.095721886,0.25212336
242,0.11208628,0.12837121
243,0.12811255,0.12922566
244,0.080364235,0.16581875
245,0.11020674,0.26074198
246,0.11039614,0.1617267
247,0.12216868,0.15325247
248,0.11833549,0.10994712
249,0.098133355,0.1648981
250,0.106129795,0.09542284
251,0.08509508,0.2176715
252,0.05348791,0.113438606
253,0.09790063,0.15888265
254,0.20908527,0.13038881
255,0.11984092,0.12837204
256,0.0918388,0.2421625
257,0.117439106,0.23843515
258,0.119069956,0.20441146
259,0.11566238,0.10157838
260,0.103552215,0.12014118
261,0.12388139,0.12414945
262,0.10411036,0.13418043
263,0.1878459,0.2416737
264,0.089568764,0.16092767
265,0.10109504,0.16778862
266,0.15802403,0.21060933
267,0.14790201,0.13015015
268,0.05302078,0.28375834
269,0.095020846,0.13887843
270,0.12381025,0.12521142
271,0.14052965,0.097550854
272,0.05606222,0.13130456
273,0.08932998,0.1422759
274,0.14741299,0.12727246
275,0.13287985,0.22235866
276,0.09099938,0.23495328
277,0.10429981,0.15561391
278,0.09517956,0.24900655
279,0.100384615,0.13161074
280,0.104349695,0.10317093
281,0.10818307,0.1642121
282,0.12546529,0.1709402
283,0.092957094,0.14772974
284,0.101473935,0.14992742
285,0.25942785,0.0945561
286,0.10298968,0.15894762
287,0.13973364,0.116362184
288,0.07939584,0.16738892
289,0.09937222,0.20652086
290,0.11467654,0.0677319
291,0.12185995,0.12898445
